id,symbol,name,exchange,market_type,created_at,updated_at
66,4413,飛寶企業,上櫃,NULL,2025-06-22 12:41:27.693,2025-06-22 12:41:27.693
67,1210,大成,上市,NULL,2025-06-22 12:41:27.717,2025-06-22 12:41:27.717
68,2073,雄順,上櫃,NULL,2025-06-22 12:41:27.737,2025-06-22 12:41:27.737
69,1220,台榮,上市,NULL,2025-06-22 12:41:27.760,2025-06-22 12:41:27.760
70,4420,光明,上櫃,NULL,2025-06-22 12:41:27.783,2025-06-22 12:41:27.783
71,2641,正德,上櫃,NULL,2025-06-22 12:41:27.810,2025-06-22 12:41:27.810
72,5206,坤悅,上櫃,NULL,2025-06-22 12:41:27.833,2025-06-22 12:41:27.833
73,4303,信立,上櫃,NULL,2025-06-22 12:41:27.853,2025-06-22 12:41:27.853
74,1796,金穎生技,上櫃,NULL,2025-06-22 12:41:27.880,2025-06-22 12:41:27.880
75,2254,巨鎧精密,上市,創新板,2025-06-22 12:41:27.900,2025-06-22 12:41:27.900
76,2066,世德,上櫃,NULL,2025-06-22 12:41:27.923,2025-06-22 12:41:27.923
77,1227,佳格,上市,NULL,2025-06-22 12:41:27.947,2025-06-22 12:41:27.947
78,1295,生合,上櫃,NULL,2025-06-22 12:41:27.970,2025-06-22 12:41:27.970
79,1268,漢來美食,上櫃,NULL,2025-06-22 12:41:28.000,2025-06-22 12:41:28.000
80,5009,榮剛,上櫃,NULL,2025-06-22 12:41:28.020,2025-06-22 12:41:28.020
81,1580,新麥,上櫃,NULL,2025-06-22 12:41:28.043,2025-06-22 12:41:28.043
82,2736,富野,上櫃,NULL,2025-06-22 12:41:28.063,2025-06-22 12:41:28.063
83,4401,東隆興,上櫃,NULL,2025-06-22 12:41:28.087,2025-06-22 12:41:28.087
84,6846,綠茵,上櫃,NULL,2025-06-22 12:41:28.103,2025-06-22 12:41:28.103
85,1294,漢田生技,上櫃,NULL,2025-06-22 12:41:28.123,2025-06-22 12:41:28.123
86,2718,全心投控,上櫃,NULL,2025-06-22 12:41:28.147,2025-06-22 12:41:28.147
